Year,Index
2014-11-17,1756
2014-11-18,1757
2014-12-06,1761
2014-12-09,1763
2014-12-15,1766
2014-12-16,1767
2014-12-18,1769
2014-12-21,1771
2014-12-23,1773
2014-12-23,1775
2015-01-01,1776
2015-01-08,1778
2015-01-13,1779
2015-01-21,1784
2015-01-21,1785
2015-01-22,1786
2015-01-28,1787
2015-02-08,1790
2015-03-05,1799
2015-03-12,1803
2015-03-16,1804
2015-03-26,1808
2015-04-02,1812
2015-04-06,1813
2015-04-06,1814
2015-04-09,1816
2015-04-20,1822
2015-04-21,1823
2015-04-23,1825
2015-04-26,1827
2015-04-26,1829
2015-05-22,1837
2015-05-26,1839
2015-05-31,1842
2015-06-04,1843
2015-06-11,1848
2015-06-11,1851
2015-06-12,1852
2015-06-20,1854
2015-06-25,1856
2015-06-25,1857
2015-06-26,1858
2015-06-28,1859
2015-06-28,1860
2015-06-30,1861
2015-07-16,1865
2015-07-17,1866
2015-07-21,1867
2015-07-30,1871
2015-07-31,1873
2015-08-04,1874
2015-08-09,1877
2015-08-10,1878
2015-08-13,1880
2015-08-20,1882
2015-08-23,1885
2015-08-30,1887
2015-08-30,1888
2015-08-30,1889
2015-09-05,1890
2015-09-16,1891
2015-09-17,1892
2015-09-18,1893
2015-09-18,1894
2015-09-20,1896
2015-09-24,1898
2015-09-25,1899
2015-09-25,1900
2015-10-01,1901
2015-10-01,1902
2015-10-02,1903
2015-10-04,1904
2015-10-09,1907
2015-10-16,1910
2015-10-20,1914
2015-10-21,1915
2015-10-25,1916
2015-10-25,1917
2015-10-29,1922
2015-11-03,1924
2015-11-04,1925
2015-11-05,1927
2015-11-06,1928
2015-11-07,1931
2015-11-08,1932
2015-11-08,1933
2015-11-10,1935
2015-11-15,1936
2015-11-20,1941
2015-11-22,1942
2015-11-24,1943
2015-11-27,1944
2015-12-04,1948
2015-12-07,1949
2015-12-08,1950
2015-12-08,1952
2015-12-10,1954
2015-12-11,1956
2015-12-12,1958
2015-12-25,1963
2016-01-14,1971
2016-01-16,1972
2016-01-17,1973
2016-01-18,1974
2016-01-19,1975
2016-01-20,1976
2016-01-21,1977
2016-01-22,1978
2016-01-24,1979
2016-01-26,1980
2016-01-26,1981
2016-01-27,1985
2016-01-28,1986
2016-01-28,1987
2016-01-31,1989
2016-02-04,1991
2016-02-10,1993
2016-02-17,1997
2016-02-19,2000
2016-02-21,2001
2016-02-21,2002
2016-02-22,2003
2016-02-24,2004
